latitude,longitude,heading,speed,steer,direction,pitch,terrain
36.96759746,127.87272945,-5.76,0.0000,0.00,1,-0.07,0.0
36.96759745,127.87272948,-5.76,0.0000,0.00,1,-0.07,0.0
36.96759751,127.87272944,-5.76,0.0000,0.00,1,-0.07,0.0
36.96759751,127.87272950,-5.77,0.0000,0.00,1,-0.07,0.0
36.96759754,127.87272947,-5.77,0.0000,0.00,1,-0.06,0.0
36.96759752,127.87272946,-5.77,0.0000,0.00,1,-0.06,0.0
36.96759752,127.87272945,-5.77,0.0000,0.00,1,-0.07,0.0
36.96759752,127.87272946,-5.77,0.0000,0.00,1,-0.07,0.0
36.96759750,127.87272944,-5.78,0.0000,0.00,1,-0.07,0.0
36.96759754,127.87272946,-5.78,0.0000,0.00,1,-0.07,0.0
36.96759750,127.87272948,-5.78,0.0000,0.00,1,-0.08,0.0
36.96759752,127.87272946,-5.78,0.0000,0.00,1,-0.08,0.0
36.96759750,127.87272944,-5.78,0.0000,0.00,1,-0.08,0.0
36.96759749,127.87272944,-5.78,0.0000,0.00,1,-0.08,0.0
36.96759753,127.87272951,-5.78,0.0000,0.00,1,-0.08,0.0
36.96759750,127.87272946,-5.79,0.0000,0.00,1,-0.08,0.0
36.96759749,127.87272956,-5.78,0.0000,0.00,1,-0.09,0.0
36.96759750,127.87272980,-5.80,0.0000,0.00,1,-0.10,0.0
36.96759747,127.87273001,-5.80,0.0000,0.00,1,-0.11,0.0
36.96759745,127.87273032,-5.82,0.0000,0.00,1,-0.13,0.0
36.96759741,127.87273072,-5.76,0.0000,0.00,1,-0.14,0.0
36.96759737,127.87273122,-5.81,0.0000,0.00,1,-0.16,0.0
36.96759731,127.87273200,-5.80,0.0000,0.00,1,-0.17,0.0
36.96759726,127.87273283,-5.82,0.0000,0.00,1,-0.18,0.0
36.96759714,127.87273373,-5.83,0.0000,0.00,1,-0.19,0.0
36.96759706,127.87273484,-5.79,0.2827,0.00,1,-0.21,0.0
36.96759696,127.87273596,-5.94,0.2827,0.00,1,-0.21,0.0
