latitude,longitude,heading,speed,steer,direction,pitch,terrain
36.96742967,127.87268153,-10.14,0.0000,0.00,1,0.40,0.0
36.96742970,127.87268149,-10.14,0.0000,0.00,1,0.40,0.0
36.96742959,127.87268151,-10.14,0.0000,0.00,1,0.39,0.0
36.96742975,127.87268150,-10.14,0.0000,0.00,1,0.39,0.0
36.96742978,127.87268155,-10.14,0.0000,0.00,1,0.39,0.0
36.96742978,127.87268158,-10.13,0.0000,0.00,1,0.40,0.0
36.96742977,127.87268160,-10.13,0.0000,0.00,1,0.40,0.0
36.96742977,127.87268156,-10.12,0.0000,0.00,1,0.40,0.0
36.96742987,127.87268155,-10.12,0.0000,0.00,1,0.40,0.0
36.96742983,127.87268158,-10.12,0.0000,0.00,1,0.39,0.0
36.96742978,127.87268160,-10.12,0.0000,0.00,1,0.39,0.0
36.96742978,127.87268160,-10.12,0.0000,0.00,1,0.39,0.0
36.96742980,127.87268158,-10.12,0.0000,0.00,1,0.39,0.0
36.96742990,127.87268160,-10.13,0.0000,0.00,1,0.39,0.0
36.96742983,127.87268162,-10.12,0.0000,0.00,1,0.39,0.0
36.96742984,127.87268159,-10.12,0.0000,0.00,1,0.39,0.0
36.96742979,127.87268159,-10.12,0.2827,0.00,1,0.39,0.0
36.96742974,127.87268176,-10.39,0.0000,0.00,1,0.32,0.0
36.96742969,127.87268258,-10.75,0.2827,0.00,1,0.26,0.0
36.96742942,127.87268361,-11.34,0.2827,0.00,1,0.22,0.0
36.96742908,127.87268501,-12.14,0.5655,0.00,1,0.19,0.0
36.96742908,127.87268501,-13.16,0.5655,0.00,1,0.15,0.0
36.96742839,127.87268860,-14.26,0.5655,0.00,1,0.16,0.0
36.96742772,127.87269047,-15.55,0.5655,0.00,1,0.13,0.0
36.96742772,127.87269047,-15.75,0.5655,0.00,1,0.07,0.0
36.96742690,127.87269507,-14.71,0.8482,0.00,1,0.00,0.0
36.96742666,127.87269759,-13.50,0.8482,0.00,1,-0.04,0.0
36.96742646,127.87270015,-12.25,0.8482,0.00,1,-0.07,0.0
36.96742646,127.87270015,-10.22,0.8482,0.00,1,-0.09,0.0
36.96742667,127.87270572,-7.87,0.8482,0.00,1,-0.10,0.0
36.96742643,127.87270841,-5.47,1.1310,0.00,1,-0.07,0.0
36.96742643,127.87270841,-2.96,1.1310,0.00,1,-0.01,0.0
36.96742698,127.87271406,-0.35,1.1310,0.00,1,0.04,0.0
36.96742752,127.87271705,2.24,0.5655,0.00,1,0.08,0.0
36.96742752,127.87271705,4.80,1.1310,0.00,1,0.16,0.0
36.96742860,127.87272226,7.58,0.8482,0.00,1,0.21,0.0
36.96742935,127.87272462,10.07,0.8482,0.00,1,0.20,0.0
36.96743014,127.87272694,12.58,0.5655,0.00,1,0.21,0.0
36.96743083,127.87272900,14.95,0.8482,0.00,1,0.25,0.0
36.96743170,127.87273106,17.20,0.2827,0.00,1,0.18,0.0
