latitude,longitude,heading,speed,steer,direction,pitch,terrain
36.96748476,127.87277151,77.15,0.0000,0.00,1,0.56,0.0
36.96748473,127.87277145,77.16,0.0000,0.00,1,0.50,0.0
36.96748476,127.87277147,77.16,0.0000,0.00,1,0.44,0.0
36.96748474,127.87277141,77.16,0.0000,0.00,1,0.41,0.0
36.96748470,127.87277142,77.16,0.0000,0.00,1,0.40,0.0
36.96748472,127.87277149,77.17,0.0000,0.00,1,0.39,0.0
36.96748471,127.87277142,77.18,0.0000,0.00,1,0.37,0.0
36.96748473,127.87277142,77.18,0.0000,0.00,1,0.36,0.0
36.96748472,127.87277140,77.18,0.0000,0.00,1,0.35,0.0
36.96748471,127.87277140,77.18,0.0000,0.00,1,0.34,0.0
36.96748470,127.87277135,77.18,0.0000,0.00,1,0.33,0.0
36.96748471,127.87277135,77.18,0.0000,0.00,1,0.32,0.0
36.96748469,127.87277139,77.19,0.0000,0.00,1,0.31,0.0
36.96748466,127.87277137,77.20,0.0000,0.00,1,0.31,0.0
36.96748467,127.87277135,77.20,0.0000,0.00,1,0.30,0.0
36.96748466,127.87277138,77.20,0.0000,0.00,1,0.29,0.0
36.96748470,127.87277136,77.19,0.0000,0.00,1,0.29,0.0
36.96748471,127.87277140,77.20,0.0000,0.00,1,0.29,0.0
36.96748470,127.87277139,77.20,0.0000,0.00,1,0.28,0.0
36.96748473,127.87277138,77.20,0.0000,0.00,1,0.28,0.0
36.96748473,127.87277137,77.19,0.0000,0.00,1,0.23,0.0
36.96748497,127.87277147,77.15,0.0000,0.00,1,0.20,0.0
36.96748558,127.87277162,76.93,0.2827,0.00,1,0.14,0.0
36.96748655,127.87277194,76.74,0.2827,0.00,1,0.09,0.0
36.96748785,127.87277237,76.63,0.5655,0.00,1,0.04,0.0
36.96748927,127.87277284,76.38,0.8482,0.00,1,0.04,0.0
36.96749096,127.87277336,76.31,0.8482,0.00,1,0.05,0.0
36.96749289,127.87277387,76.20,0.5655,0.00,1,0.10,0.0
36.96749471,127.87277454,76.16,0.5655,0.00,1,0.13,0.0
36.96749659,127.87277516,75.91,0.5655,0.00,1,0.16,0.0
36.96749827,127.87277573,75.83,0.5655,0.00,1,0.17,0.0
36.96749972,127.87277623,75.67,0.5655,0.00,1,0.18,0.0
36.96750124,127.87277680,75.50,0.5655,0.00,1,0.20,0.0
36.96750262,127.87277726,75.44,0.2827,0.00,1,0.26,0.0
36.96750394,127.87277770,75.44,0.2827,0.00,1,0.30,0.0
36.96750516,127.87277813,75.27,0.2827,0.00,1,0.36,0.0
36.96750625,127.87277852,75.19,0.2827,0.00,1,0.40,0.0
36.96750722,127.87277883,75.11,0.2827,0.00,1,0.43,0.0
36.96750822,127.87277920,74.95,0.2827,0.00,1,0.40,0.0
36.96750931,127.87277964,74.85,0.5655,0.00,1,0.39,0.0
36.96751031,127.87277996,74.76,0.2827,0.00,1,0.39,0.0
36.96751142,127.87278034,74.76,0.2827,0.00,1,0.42,0.0
36.96751250,127.87278062,74.63,0.2827,0.00,1,0.41,0.0
36.96751380,127.87278121,74.59,0.8482,0.00,1,0.39,0.0
36.96751521,127.87278167,74.10,0.5655,0.00,1,0.38,0.0
36.96751664,127.87278230,73.64,0.5655,0.00,1,0.38,0.0
36.96751852,127.87278306,72.86,0.8482,0.00,1,0.38,0.0
36.96752026,127.87278389,71.95,0.8482,0.00,1,0.42,0.0
36.96752208,127.87278472,71.08,0.8482,0.00,1,0.47,0.0
