latitude,longitude,heading,speed,steer,direction,pitch,terrain
36.96745085,127.87289253,76.02,0.0000,0.00,1,1.45,0.0
36.96745089,127.87289249,76.02,0.0000,0.00,1,1.44,0.0
36.96745084,127.87289250,76.02,0.0000,0.00,1,1.44,0.0
36.96745087,127.87289252,76.01,0.0000,0.00,1,1.43,0.0
36.96745091,127.87289248,76.01,0.0000,0.00,1,1.43,0.0
36.96745086,127.87289248,76.01,0.0000,0.00,1,1.42,0.0
36.96745088,127.87289248,76.01,0.0000,0.00,1,1.42,0.0
36.96745087,127.87289247,76.00,0.0000,0.00,1,1.42,0.0
36.96745084,127.87289248,76.01,0.0000,0.00,1,1.41,0.0
36.96745091,127.87289248,76.00,0.0000,0.00,1,1.41,0.0
36.96745089,127.87289251,75.99,0.0000,0.00,1,1.41,0.0
36.96745090,127.87289250,76.00,0.0000,0.00,1,1.40,0.0
36.96745087,127.87289250,75.99,0.0000,0.00,1,1.40,0.0
36.96745093,127.87289248,75.99,0.0000,0.00,1,1.40,0.0
36.96745090,127.87289251,75.99,0.0000,0.00,1,1.39,0.0
36.96745099,127.87289248,75.99,0.0000,0.00,1,1.39,0.0
36.96745101,127.87289250,75.99,0.0000,0.00,1,1.38,0.0
36.96745100,127.87289252,75.98,0.0000,0.00,1,1.38,0.0
36.96745092,127.87289250,75.98,0.0000,0.00,1,1.38,0.0
36.96745091,127.87289252,75.98,0.0000,0.00,1,1.38,0.0
36.96745085,127.87289248,75.98,0.0000,0.00,1,1.37,0.0
36.96745084,127.87289248,75.98,0.0000,0.00,1,1.37,0.0
36.96745087,127.87289247,75.98,0.0000,0.00,1,1.37,0.0
36.96745091,127.87289249,76.28,0.2827,0.00,1,1.32,0.0
36.96745144,127.87289253,76.82,0.2827,0.00,1,1.34,0.0
36.96745251,127.87289281,77.12,0.8482,0.00,1,1.37,0.0
36.96745366,127.87289313,77.51,0.5655,0.00,1,1.40,0.0
36.96745508,127.87289349,77.31,0.5655,0.00,1,1.30,0.0
36.96745631,127.87289383,76.71,0.5655,0.00,1,1.10,0.0
36.96745759,127.87289426,75.68,0.5655,0.00,1,0.69,0.0
36.96745886,127.87289478,75.38,0.5655,0.00,1,0.24,0.0
36.96746033,127.87289526,74.92,0.5655,0.00,1,-0.21,0.0
36.96746160,127.87289574,74.71,0.2827,0.00,1,-0.52,0.0
36.96746289,127.87289623,74.85,0.5655,0.00,1,-0.71,0.0
36.96746413,127.87289665,74.89,0.5655,0.00,1,-0.77,0.0
36.96746536,127.87289705,74.77,0.5655,0.00,1,-0.80,0.0
36.96746654,127.87289740,74.78,0.5655,0.00,1,-0.78,0.0
36.96746779,127.87289779,74.71,0.5655,0.00,1,-0.75,0.0
36.96746899,127.87289827,74.66,0.2827,0.00,1,-0.72,0.0
36.96747022,127.87289862,74.54,0.2827,0.00,1,-0.71,0.0
36.96747141,127.87289902,74.50,0.2827,0.00,1,-0.74,0.0
36.96747265,127.87289949,74.44,0.5655,0.00,1,-0.82,0.0
36.96747404,127.87290000,74.51,0.2827,0.00,1,-0.94,0.0
36.96747552,127.87290049,74.49,0.2827,0.00,1,-1.01,0.0
36.96747679,127.87290099,74.39,0.2827,0.00,1,-1.05,0.0
36.96747808,127.87290142,74.28,0.2827,0.00,1,-1.05,0.0
36.96747927,127.87290190,74.16,0.2827,0.00,1,-1.01,0.0
36.96748030,127.87290223,73.97,0.2827,0.00,1,-1.00,0.0
36.96748147,127.87290257,74.03,0.2827,0.00,1,-0.98,0.0
36.96748264,127.87290300,73.97,0.2827,0.00,1,-0.95,0.0
36.96748376,127.87290331,73.91,0.5655,0.00,1,-0.85,0.0
36.96748467,127.87290368,73.86,0.2827,0.00,1,-0.92,0.0
36.96748587,127.87290405,73.76,0.5655,0.00,1,-1.04,0.0
36.96748739,127.87290450,73.51,0.5655,0.00,1,-1.12,0.0
36.96748893,127.87290509,73.47,0.5655,0.00,1,-1.24,0.0
36.96749090,127.87290590,73.49,0.8482,0.00,1,-1.38,0.0
36.96749280,127.87290659,73.55,0.8482,0.00,1,-1.48,0.0
