latitude,longitude,heading,speed,steer,direction,pitch,terrain
36.96743866,127.87269007,-17.78,0.0000,0.00,1,0.38,0.0
36.96743861,127.87269005,-17.78,0.0000,0.00,1,0.37,0.0
36.96743868,127.87269011,-17.78,0.0000,0.00,1,0.37,0.0
36.96743869,127.87269011,-17.77,0.0000,0.00,1,0.36,0.0
36.96743866,127.87269010,-17.77,0.0000,0.00,1,0.36,0.0
36.96743867,127.87269009,-17.76,0.0000,0.00,1,0.35,0.0
36.96743870,127.87269011,-17.78,0.0000,0.00,1,0.36,0.0
36.96743867,127.87269004,-17.78,0.0000,0.00,1,0.36,0.0
36.96743870,127.87269007,-17.78,0.0000,0.00,1,0.37,0.0
36.96743865,127.87268998,-17.77,0.0000,0.00,1,0.38,0.0
36.96743855,127.87268999,-17.77,0.0000,0.00,1,0.39,0.0
36.96743861,127.87268999,-17.76,0.0000,0.00,1,0.40,0.0
36.96743859,127.87268997,-17.76,0.0000,0.00,1,0.40,0.0
36.96743855,127.87269004,-17.77,0.0000,0.00,1,0.40,0.0
36.96743856,127.87269004,-17.79,0.0000,0.00,1,0.38,0.0
36.96743850,127.87269012,-17.96,0.0000,0.00,1,0.34,0.0
36.96743843,127.87269047,-18.19,0.2827,0.00,1,0.29,0.0
36.96743818,127.87269119,-18.69,0.2827,0.00,1,0.24,0.0
36.96743785,127.87269192,-19.12,0.2827,0.00,1,0.20,0.0
36.96743746,127.87269312,-19.88,0.2827,0.00,1,0.14,0.0
36.96743691,127.87269434,-20.66,0.2827,0.00,1,0.08,0.0
36.96743645,127.87269591,-20.53,0.2827,0.00,1,0.05,0.0
36.96743598,127.87269743,-19.39,0.5655,0.00,1,0.03,0.0
36.96743568,127.87269939,-17.76,0.8482,0.00,1,0.02,0.0
36.96743534,127.87270136,-16.10,0.5655,0.00,1,0.01,0.0
36.96743495,127.87270378,-13.46,0.8482,0.00,1,0.01,0.0
36.96743477,127.87270635,-11.69,1.1310,0.00,1,0.01,0.0
36.96743453,127.87270929,-8.69,1.1310,0.00,1,-0.01,0.0
36.96743458,127.87271233,-6.10,1.1310,0.00,1,-0.06,0.0
36.96743451,127.87271499,-4.13,0.8482,0.00,1,-0.08,0.0
36.96743464,127.87271752,-0.87,0.8482,0.00,1,-0.15,0.0
36.96743491,127.87271993,1.74,0.5655,0.00,1,-0.18,0.0
36.96743522,127.87272228,4.88,0.5655,0.00,1,-0.11,0.0
36.96743573,127.87272462,7.40,0.8482,0.00,1,-0.09,0.0
36.96743627,127.87272707,10.16,0.8482,0.00,1,-0.03,0.0
36.96743700,127.87272981,13.17,0.8482,0.00,1,0.06,0.0
36.96743759,127.87273256,16.44,1.1310,0.00,1,-0.04,0.0
36.96743857,127.87273538,19.66,1.1310,0.00,1,-0.27,0.0
36.96743960,127.87273816,22.15,1.1310,0.00,1,-0.32,0.0
36.96744099,127.87274093,26.29,0.8482,0.00,1,-0.51,0.0
36.96744247,127.87274361,29.35,1.1310,0.00,1,-0.63,0.0
36.96744395,127.87274595,32.54,1.1310,0.00,1,-0.62,0.0
36.96744544,127.87274827,35.79,1.1310,0.00,1,-0.59,0.0
36.96744715,127.87275055,38.92,0.8482,0.00,1,-0.70,0.0
36.96744890,127.87275251,42.01,1.1310,0.00,1,-0.81,0.0
36.96745057,127.87275437,45.27,1.1310,0.00,1,-1.04,0.0
36.96745263,127.87275632,45.33,1.1310,0.00,1,-1.36,0.0
36.96745441,127.87275853,43.71,0.8482,0.00,1,-1.59,0.0
36.96745607,127.87276098,42.06,0.8482,0.00,1,-1.63,0.0
36.96745746,127.87276322,40.47,0.8482,0.00,1,-1.41,0.0
36.96745881,127.87276555,38.16,0.8482,0.00,1,-1.08,0.0
36.96745973,127.87276777,34.25,0.8482,0.00,1,-0.63,0.0
36.96746042,127.87277026,30.09,1.1310,0.00,1,-0.18,0.0
36.96746116,127.87277299,25.82,1.1310,0.00,1,0.18,0.0
36.96746179,127.87277608,21.04,1.1310,0.00,1,0.39,0.0
36.96746228,127.87277911,18.08,1.1310,0.00,1,0.58,0.0
36.96746280,127.87278207,15.94,0.8482,0.00,1,0.68,0.0
36.96746317,127.87278504,14.13,0.8482,0.00,1,0.77,0.0
36.96746364,127.87278799,12.14,1.1310,0.00,1,0.82,0.0
36.96746400,127.87279100,10.73,1.1310,0.00,1,0.81,0.0
36.96746427,127.87279401,8.34,0.8482,0.00,1,0.73,0.0
36.96746439,127.87279721,6.17,1.1310,0.00,1,0.80,0.0
36.96746453,127.87280050,4.13,1.1310,0.00,1,0.83,0.0
36.96746442,127.87280396,2.01,1.4137,0.00,1,0.87,0.0
36.96746427,127.87280743,-3.59,1.1310,0.00,1,0.86,0.0
36.96746359,127.87281086,-8.59,1.4137,0.00,1,0.81,0.0
36.96746269,127.87281416,-13.02,1.1310,0.00,1,0.65,0.0
36.96746151,127.87281733,-17.28,1.1310,0.00,1,0.50,0.0
36.96746040,127.87282046,-21.35,1.4137,0.00,1,0.32,0.0
36.96745903,127.87282344,-25.69,1.1310,0.00,1,0.20,0.0
36.96745744,127.87282638,-28.90,1.4137,0.00,1,0.15,0.0
36.96745564,127.87282907,-35.18,1.1310,0.00,1,0.09,0.0
36.96745373,127.87283165,-39.30,1.1310,0.00,1,0.02,0.0
36.96745163,127.87283396,-43.37,1.1310,0.00,1,-0.14,0.0
36.96744939,127.87283624,-47.85,1.1310,0.00,1,-0.36,0.0
36.96744717,127.87283827,-51.07,0.8482,0.00,1,-0.54,0.0
36.96744467,127.87284002,-53.54,1.1310,0.00,1,-0.54,0.0
36.96744264,127.87284186,-54.27,0.8482,0.00,1,-0.41,0.0
36.96744059,127.87284354,-55.23,1.4137,0.00,1,-0.07,0.0
36.96743876,127.87284519,-55.97,1.1310,0.00,1,0.19,0.0
36.96743678,127.87284704,-55.53,1.1310,0.00,1,0.34,0.0
36.96743478,127.87284909,-52.99,1.1310,0.00,1,0.41,0.0
36.96743292,127.87285160,-50.01,1.1310,0.00,1,0.35,0.0
36.96743115,127.87285420,-46.25,1.4137,0.00,1,-0.23,0.0
36.96742966,127.87285679,-43.03,0.8482,0.00,1,-0.57,0.0
36.96742832,127.87285952,-39.88,1.1310,0.00,1,-0.72,0.0
36.96742697,127.87286220,-36.75,1.1310,0.00,1,-0.63,0.0
36.96742591,127.87286516,-32.07,1.1310,0.00,1,-0.34,0.0
36.96742492,127.87286833,-29.64,1.4137,0.00,1,0.12,0.0
36.96742396,127.87287149,-26.38,1.1310,0.00,1,0.73,0.0
36.96742318,127.87287481,-24.30,1.1310,0.00,1,1.24,0.0
36.96742227,127.87287804,-25.19,1.1310,0.00,1,1.32,0.0
36.96742100,127.87288120,-26.24,1.4137,0.00,1,1.25,0.0
36.96741978,127.87288422,-27.81,1.4137,0.00,1,1.08,0.0
36.96741846,127.87288684,-29.13,1.4137,0.00,1,0.90,0.0
36.96741719,127.87288957,-30.07,1.1310,0.00,1,0.78,0.0
36.96741595,127.87289217,-31.42,1.1310,0.00,1,0.59,0.0
36.96741446,127.87289486,-31.07,1.1310,0.00,1,0.45,0.0
36.96741332,127.87289781,-29.90,1.4137,0.00,1,0.39,0.0
36.96741218,127.87290101,-26.30,1.4137,0.00,1,0.34,0.0
36.96741120,127.87290456,-23.34,1.1310,0.00,1,0.33,0.0
36.96741032,127.87290821,-20.29,1.6965,0.00,1,0.39,0.0
36.96740964,127.87291203,-17.12,1.4137,0.00,1,0.44,0.0
36.96740914,127.87291593,-13.40,1.6965,0.00,1,0.45,0.0
36.96740862,127.87291978,-11.31,1.6965,0.00,1,0.41,0.0
36.96740828,127.87292370,-12.00,1.4137,0.00,1,0.36,0.0
36.96740757,127.87292718,-12.56,1.1310,0.00,1,0.29,0.0
36.96740700,127.87293056,-13.19,1.1310,0.00,1,0.21,0.0
36.96740634,127.87293371,-13.65,1.1310,0.00,1,0.06,0.0
36.96740563,127.87293674,-14.32,1.1310,0.00,1,0.09,0.0
36.96740518,127.87293965,-14.91,1.4137,0.00,1,0.06,0.0
36.96740438,127.87294255,-15.44,1.1310,0.00,1,0.01,0.0
36.96740364,127.87294540,-16.49,1.1310,0.00,1,-0.08,0.0
36.96740301,127.87294862,-17.21,1.4137,0.00,1,-0.04,0.0
36.96740215,127.87295168,-16.61,1.1310,0.00,1,-0.12,0.0
36.96740149,127.87295481,-14.20,0.8482,0.00,1,-0.11,0.0
36.96740128,127.87295789,-11.67,0.8482,0.00,1,-0.04,0.0
36.96740108,127.87296090,-9.17,1.1310,0.00,1,0.03,0.0
36.96740093,127.87296375,-7.25,1.1310,0.00,1,0.04,0.0
36.96740081,127.87296701,-5.21,1.1310,0.00,1,0.03,0.0
36.96740088,127.87297003,-2.67,1.1310,0.00,1,-0.01,0.0
36.96740112,127.87297317,-1.22,1.1310,0.00,1,-0.01,0.0
36.96740132,127.87297624,1.04,1.1310,0.00,1,0.08,0.0
36.96740154,127.87297921,3.10,1.1310,0.00,1,0.20,0.0
36.96740189,127.87298212,4.90,0.8482,0.00,1,0.33,0.0
36.96740230,127.87298504,5.05,1.1310,0.00,1,0.40,0.0
