latitude,longitude,heading,speed,steer,direction,pitch,terrain
36.96744934,127.87256188,-12.07,0.0000,0.00,1,0.22,0.0
36.96744886,127.87256463,-13.32,0.0000,0.00,1,0.20,0.0
36.96744840,127.87256738,-13.83,0.0000,0.00,1,0.17,0.0
36.96744779,127.87257008,-14.97,0.0000,0.00,1,0.16,0.0
36.96744719,127.87257279,-16.75,0.0000,0.00,1,0.15,0.0
36.96744654,127.87257548,-17.50,0.0000,0.00,1,0.15,0.0
36.96744581,127.87257814,-19.00,0.0000,0.00,1,0.15,0.0
36.96744509,127.87258080,-20.30,0.0000,0.00,1,0.14,0.0
36.96744427,127.87258342,-20.41,0.0000,0.00,1,0.13,0.0
36.96744342,127.87258602,-18.51,0.0000,0.00,1,0.13,0.0
36.96744268,127.87258867,-15.70,0.0000,0.00,1,0.05,0.0
36.96744224,127.87259143,-11.02,0.0999,0.00,1,-0.04,0.0
36.96744185,127.87259420,-6.55,0.0206,0.00,1,-0.01,0.0
36.96744172,127.87259700,-4.09,0.0000,0.00,1,0.04,0.0
36.96744166,127.87259981,-0.46,0.0000,0.00,1,0.15,0.0
36.96744160,127.87260262,1.87,0.0000,0.00,1,0.16,0.0
36.96744178,127.87260543,4.49,0.2770,0.00,1,0.11,0.0
36.96744201,127.87260822,7.72,0.2827,0.00,1,0.06,0.0
36.96744236,127.87261100,10.17,0.2827,0.00,1,0.03,0.0
36.96744281,127.87261375,12.52,0.2827,0.00,1,0.02,0.0
36.96744336,127.87261648,15.28,0.2827,0.00,1,0.01,0.0
36.96744395,127.87261919,17.31,0.5551,0.00,1,0.02,0.0
36.96744472,127.87262183,19.55,0.2827,0.00,1,0.01,0.0
36.96744548,127.87262448,22.44,0.2827,0.00,1,-0.02,0.0
36.96744636,127.87262706,24.51,0.2827,0.00,1,-0.06,0.0
36.96744738,127.87262957,27.53,0.4668,0.00,1,-0.11,0.0
36.96744844,127.87263204,30.51,0.7566,0.00,1,-0.18,0.0
36.96744962,127.87263443,33.28,0.6611,0.00,1,-0.23,0.0
36.96745092,127.87263673,36.58,0.3983,0.00,1,-0.29,0.0
36.96745230,127.87263895,40.01,0.2827,0.00,1,-0.34,0.0
36.96745379,127.87264105,43.35,0.3796,0.00,1,-0.37,0.0
36.96745539,127.87264302,46.38,0.5655,0.00,1,-0.37,0.0
36.96745707,127.87264489,49.09,0.5655,0.00,1,-0.34,0.0
36.96745879,127.87264669,50.94,0.5655,0.00,1,-0.31,0.0
36.96746057,127.87264841,50.39,0.5655,0.00,1,-0.25,0.0
36.96746236,127.87265010,48.49,0.5655,0.00,1,-0.23,0.0
36.96746398,127.87265205,44.94,0.7560,0.00,1,-0.23,0.0
36.96746550,127.87265412,39.94,0.6691,0.00,1,-0.38,0.0
36.96746689,127.87265633,35.13,0.7364,0.00,1,-0.63,0.0
36.96746810,127.87265869,29.71,0.8482,0.00,1,-0.88,0.0
36.96746912,127.87266119,23.88,0.9894,0.00,1,-1.07,0.0
36.96746992,127.87266382,17.92,1.1310,0.00,1,-1.23,0.0
36.96747050,127.87266654,12.14,1.0785,0.00,1,-1.33,0.0
36.96747085,127.87266931,6.77,0.8481,0.00,1,-1.34,0.0
36.96747100,127.87267212,1.33,0.6257,0.00,1,-1.36,0.0
36.96747097,127.87267493,-4.19,0.7335,0.00,1,-1.38,0.0
36.96747070,127.87267772,-9.99,0.8482,0.00,1,-1.44,0.0
36.96747019,127.87268045,-16.44,0.8024,0.00,1,-1.51,0.0
36.96746945,127.87268311,-22.51,0.5880,0.00,1,-1.59,0.0
36.96746845,127.87268562,-28.11,0.7548,0.00,1,-1.69,0.0
36.96746729,127.87268803,-34.33,0.8482,0.00,1,-1.79,0.0
36.96746599,127.87269031,-40.20,0.8482,0.00,1,-1.89,0.0
36.96746442,127.87269233,-46.28,0.8482,0.00,1,-2.01,0.0
36.96746270,127.87269414,-53.00,0.8482,0.00,1,-2.13,0.0
36.96746085,127.87269573,-59.05,0.8482,0.00,1,-2.26,0.0
36.96745886,127.87269703,-64.71,0.8482,0.00,1,-2.41,0.0
36.96745678,127.87269807,-70.40,1.0196,0.00,1,-2.56,0.0
36.96745463,127.87269891,-74.90,1.0513,0.00,1,-2.70,0.0
36.96745244,127.87269948,-77.67,0.8587,0.00,1,-2.84,0.0
36.96745022,127.87269995,-79.15,0.8482,0.00,1,-2.94,0.0
36.96744801,127.87270046,-78.68,0.9512,0.00,1,-3.00,-0.4
36.96744581,127.87270102,-77.45,1.1310,0.00,1,-3.02,-1.0
36.96744363,127.87270169,-75.77,1.1310,0.00,1,-2.95,-1.0
36.96744146,127.87270239,-72.81,0.9194,0.00,1,-2.81,-1.0
36.96743931,127.87270323,-69.24,1.0265,0.00,1,-2.58,-1.0
36.96743725,127.87270434,-65.26,1.1310,0.00,1,-2.35,-1.0
36.96743527,127.87270566,-61.27,1.1310,0.00,1,-2.16,-1.0
36.96743333,127.87270708,-58.05,1.1310,0.00,1,-1.96,-1.0
36.96743145,127.87270862,-55.00,0.9940,0.00,1,-1.78,-1.0
36.96742964,127.87271028,-51.90,1.0106,0.00,1,-1.74,-1.0
36.96742793,127.87271209,-48.93,1.1310,0.00,1,-1.85,-1.0
36.96742628,127.87271400,-45.72,1.1310,0.00,1,-2.00,-1.0
36.96742469,127.87271599,-42.79,1.1310,0.00,1,-2.18,-1.0
36.96742322,127.87271811,-39.95,1.1310,0.00,1,-2.22,-1.0
36.96742184,127.87272033,-34.91,1.1310,0.00,1,-2.05,-1.0
36.96742052,127.87272260,-31.82,1.5088,0.00,1,-1.66,-1.0
36.96741959,127.87272515,-28.52,1.6279,0.00,1,-1.47,0.0
36.96741851,127.87272762,-25.23,1.6142,0.00,1,-1.71,0.0
36.96741756,127.87273017,-23.51,1.4137,0.00,1,-2.38,0.0
36.96741669,127.87273276,-20.09,1.6235,0.00,1,-3.20,-0.7
36.96741601,127.87273544,-16.49,1.4137,0.00,1,-3.90,-1.0
36.96741543,127.87273815,-13.43,1.4137,0.00,1,-4.50,-1.0
36.96741502,127.87274092,-10.84,1.1310,0.00,1,-5.02,-1.0
36.96741461,127.87274368,-7.44,1.1310,0.00,1,-5.47,-1.0
36.96741432,127.87274647,-4.92,1.1310,0.00,1,-5.70,-1.0
36.96741427,127.87274928,-2.06,1.1310,0.00,1,-5.69,-1.0
36.96741425,127.87275209,1.51,1.1310,0.00,1,-5.37,-1.0
36.96741429,127.87275490,3.95,0.8982,0.00,1,-4.85,-1.0
36.96741456,127.87275769,6.10,1.0870,0.00,1,-4.30,-1.0
36.96741489,127.87276047,8.98,0.8966,0.00,1,-3.82,-1.0
36.96741521,127.87276325,11.46,0.8482,0.00,1,-3.56,-1.0
