latitude,longitude,heading,speed,steer,direction,pitch,terrain
36.96759226,127.87273914,-9.53,0.0000,0.00,1,-0.09,0.0
36.96759189,127.87274191,-9.53,0.3393,0.00,1,-0.40,0.0
36.96759152,127.87274468,-9.53,0.5655,0.00,1,-0.52,0.0
36.96759114,127.87274746,-9.53,0.7812,0.00,1,-0.54,0.0
36.96759077,127.87275023,-9.53,0.8339,0.00,1,-0.55,0.0
36.96759040,127.87275300,-9.53,0.5655,0.00,1,-0.55,0.0
36.96759003,127.87275577,-9.53,0.7186,0.00,1,-0.53,0.0
36.96758966,127.87275854,-9.53,0.6132,0.00,1,-0.51,0.0
36.96758929,127.87276132,-9.53,0.8143,0.00,1,-0.51,0.0
36.96758891,127.87276409,-9.53,0.5655,0.00,1,-0.55,0.0
36.96758854,127.87276686,-9.53,0.5655,0.00,1,-0.62,0.0
36.96758817,127.87276963,-9.53,0.7975,0.00,1,-0.68,0.0
36.96758780,127.87277240,-9.53,0.2896,0.00,1,-0.70,0.0
36.96758743,127.87277518,-9.53,0.5655,0.00,1,-0.66,0.0
36.96758706,127.87277795,-9.53,0.8108,0.00,1,-0.63,0.0
36.96758668,127.87278072,-9.53,0.5655,0.00,1,-0.66,0.0
36.96758631,127.87278349,-9.53,0.5655,0.00,1,-0.69,0.0
36.96758594,127.87278627,-9.53,0.5655,0.00,1,-0.72,0.0
36.96758557,127.87278904,-9.53,0.5655,0.00,1,-0.71,0.0
36.96758520,127.87279181,-9.53,0.7968,0.00,1,-0.72,0.0
36.96758483,127.87279458,-9.53,0.5741,0.00,1,-0.70,0.0
36.96758445,127.87279735,-9.53,0.8482,0.00,1,-0.70,0.0
36.96758408,127.87280013,-9.53,0.8482,0.00,1,-0.71,0.0
36.96758371,127.87280290,-9.53,0.9816,0.00,1,-0.74,0.0
36.96758334,127.87280567,-9.53,0.9755,0.00,1,-0.75,0.0
36.96758297,127.87280844,-9.53,1.0164,0.00,1,-0.72,0.0
36.96758259,127.87281121,-9.53,0.9624,0.00,1,-0.71,0.0
36.96758222,127.87281399,-9.53,1.0193,0.00,1,-0.72,0.0
36.96758185,127.87281676,-9.53,0.9571,0.00,1,-0.72,0.0
36.96758148,127.87281953,-9.53,0.8482,0.00,1,-0.75,0.0
36.96758111,127.87282230,-9.53,0.8482,0.00,1,-0.80,0.0
36.96758074,127.87282507,-9.53,0.8482,0.00,1,-0.82,0.0
36.96758036,127.87282785,-9.53,0.8482,0.00,1,-0.80,0.0
36.96757999,127.87283062,-9.53,0.8482,0.00,1,-0.80,0.0
36.96757962,127.87283339,-9.53,0.8482,0.00,1,-0.80,0.0
36.96757925,127.87283616,-9.53,0.9137,0.00,1,-0.80,0.0
36.96757888,127.87283893,-9.53,1.1310,0.00,1,-0.81,0.0
36.96757851,127.87284171,-9.53,1.0875,0.00,1,-0.82,0.0
36.96757813,127.87284448,-9.53,0.8482,0.00,1,-0.85,0.0
36.96757776,127.87284725,-9.53,0.8203,0.00,1,-0.90,0.0
36.96757739,127.87285002,-9.53,0.6198,0.00,1,-0.96,0.0
36.96757702,127.87285279,-9.53,0.8482,0.00,1,-1.02,0.0
36.96757665,127.87285557,-9.53,0.8482,0.00,1,-0.98,0.0
36.96757628,127.87285834,-9.53,0.5655,0.00,1,-0.81,0.0
36.96757590,127.87286111,-9.53,0.5655,0.00,1,-0.76,0.0
36.96757553,127.87286388,-9.53,0.5655,0.00,1,-0.82,0.0
36.96757516,127.87286665,-9.53,0.5655,0.00,1,-1.04,0.0
36.96757479,127.87286943,-9.69,0.5655,0.00,1,-1.20,0.0
36.96757442,127.87287220,-12.34,0.6244,0.00,1,-1.21,0.0
36.96757402,127.87287496,-16.65,0.8482,0.00,1,-1.12,0.0
36.96757325,127.87287760,-22.22,0.9848,0.00,1,-0.99,0.0
36.96757224,127.87288010,-28.71,0.9836,0.00,1,-0.89,0.0
36.96757106,127.87288249,-33.85,0.9894,0.00,1,-0.79,0.0
36.96756973,127.87288476,-38.67,1.1310,0.00,1,-0.73,0.0
36.96756827,127.87288689,-43.80,1.1310,0.00,1,-0.73,0.0
36.96756665,127.87288884,-48.60,1.1825,0.00,1,-0.77,0.0
36.96756488,127.87289055,-52.31,1.4128,0.00,1,-0.78,0.0
36.96756303,127.87289215,-54.68,1.2003,0.00,1,-0.78,0.0
36.96756118,127.87289374,-55.56,1.2750,0.00,1,-0.84,0.0
36.96755933,127.87289533,-56.68,1.4851,0.00,1,-0.90,0.0
36.96755747,127.87289691,-58.97,1.6885,0.00,1,-0.94,0.0
36.96755553,127.87289832,-62.40,1.5092,0.00,1,-0.95,0.0
36.96755350,127.87289952,-66.93,1.4137,0.00,1,-0.95,0.0
36.96755140,127.87290052,-70.85,1.4191,0.00,1,-0.96,0.0
36.96754925,127.87290130,-73.59,1.6085,0.00,1,-0.87,0.0
36.96754707,127.87290200,-75.24,1.5978,0.00,1,-0.71,0.0
36.96754490,127.87290270,-76.53,1.4137,0.00,1,-0.48,0.0
36.96754272,127.87290338,-78.71,1.4137,0.00,1,-0.21,0.0
36.96754052,127.87290391,-82.01,1.4137,0.00,1,0.08,0.0
36.96753828,127.87290419,-86.45,1.4011,0.00,1,0.39,0.0
36.96753604,127.87290425,-90.58,1.1815,0.00,1,0.76,0.0
