latitude,longitude,heading,speed,steer,direction,pitch,terrain
36.96759031,127.87270629,165.91,0.0000,0.00,1,0.29,0.0
36.96759034,127.87270630,165.91,0.0000,0.00,1,0.29,0.0
36.96759028,127.87270631,165.91,0.0000,0.00,1,0.29,0.0
36.96759030,127.87270628,165.91,0.0000,0.00,1,0.29,0.0
36.96759027,127.87270633,165.91,0.0000,0.00,1,0.28,0.0
36.96759031,127.87270627,165.92,0.0000,0.00,1,0.28,0.0
36.96759030,127.87270630,165.91,0.0000,0.00,1,0.28,0.0
36.96759029,127.87270631,165.92,0.0000,0.00,1,0.27,0.0
36.96759031,127.87270631,165.92,0.0000,0.00,1,0.27,0.0
36.96759027,127.87270629,165.92,0.0000,0.00,1,0.27,0.0
36.96759027,127.87270631,165.92,0.0000,0.00,1,0.27,0.0
36.96759029,127.87270631,165.92,0.0000,0.00,1,0.26,0.0
36.96759026,127.87270633,165.92,0.0000,0.00,1,0.26,0.0
36.96759026,127.87270632,165.92,0.0000,0.00,1,0.26,0.0
36.96759022,127.87270632,165.92,0.0000,0.00,1,0.26,0.0
36.96759024,127.87270629,165.91,0.0000,0.00,1,0.26,0.0
36.96759022,127.87270625,165.92,0.0000,0.00,1,0.25,0.0
36.96759020,127.87270633,165.73,0.2827,0.00,1,0.13,0.0
36.96759037,127.87270539,165.72,0.2827,0.00,1,0.05,0.0
36.96759065,127.87270407,165.71,0.2827,0.00,1,-0.03,0.0
36.96759096,127.87270228,165.63,0.5655,0.00,1,-0.11,0.0
36.96759142,127.87270023,165.40,0.5655,0.00,1,-0.18,0.0
36.96759183,127.87269803,165.20,0.5655,0.00,1,-0.09,0.0
36.96759223,127.87269607,165.07,0.2827,0.00,1,-0.01,0.0
36.96759257,127.87269425,164.95,0.2827,0.00,1,0.08,0.0
36.96759308,127.87269276,164.83,0.0000,0.00,1,0.18,0.0
36.96759327,127.87269147,164.69,0.5655,0.00,1,0.26,0.0
36.96759351,127.87269046,164.55,0.2827,0.00,1,0.27,0.0
36.96759377,127.87268927,164.39,0.2827,0.00,1,0.29,0.0
36.96759403,127.87268801,164.25,0.2827,0.00,1,0.29,0.0
36.96759428,127.87268684,164.18,0.2827,0.00,1,0.28,0.0
36.96759458,127.87268547,164.13,0.8482,0.00,1,0.29,0.0
36.96759490,127.87268410,164.04,0.2827,0.00,1,0.28,0.0
36.96759528,127.87268272,163.95,0.2827,0.00,1,0.26,0.0
36.96759558,127.87268131,163.79,0.2827,0.00,1,0.25,0.0
36.96759596,127.87267983,163.62,0.2827,0.00,1,0.26,0.0
36.96759631,127.87267826,163.47,0.5655,0.00,1,0.28,0.0
36.96759667,127.87267657,163.31,0.5655,0.00,1,0.34,0.0
36.96759705,127.87267490,163.11,0.5655,0.00,1,0.47,0.0
36.96759748,127.87267313,162.85,0.2827,0.00,1,0.58,0.0
36.96759792,127.87267121,162.61,0.5655,0.00,1,0.70,0.0
36.96759828,127.87266940,162.47,0.5655,0.00,1,0.82,0.0
36.96759872,127.87266782,162.39,0.2827,0.00,1,0.90,0.0
36.96759918,127.87266629,162.25,0.5655,0.00,1,0.95,0.0
36.96759956,127.87266478,162.04,0.5655,0.00,1,0.96,0.0
36.96759994,127.87266305,161.85,0.8482,0.00,1,0.91,0.0
36.96760046,127.87266122,162.60,0.5655,0.00,1,0.91,0.0
36.96760096,127.87265926,163.97,0.8482,0.00,1,0.98,0.0
36.96760148,127.87265704,165.35,0.5655,0.00,1,0.99,0.0
36.96760196,127.87265471,166.40,0.8482,0.00,1,1.06,0.0
36.96760243,127.87265227,167.37,0.8482,0.00,1,1.17,0.0
36.96760284,127.87264985,168.42,1.1310,0.00,1,1.25,0.0
36.96760326,127.87264747,169.61,0.8482,0.00,1,1.29,0.0
36.96760362,127.87264510,170.95,0.8482,0.00,1,1.33,0.0
